
10/15/14,1,2,9,13,35
08/22/14,1,3,8,18,25
06/29/14,10,12,16,23,28
10/14/14,9,11,17,23,33
08/21/14,10,12,17,23,25
06/28/14,12,20,21,28,31
10/13/14,6,12,16,20,32
08/20/14,2,6,14,24,27
06/27/14,2,9,15,16,24
10/12/14,6,7,10,11,21
08/19/14,2,5,9,12,30
06/26/14,9,11,15,28,30
10/11/14,5,10,25,30,34
08/18/14,14,17,23,28,36
06/25/14,3,7,13,28,34
10/10/14,2,3,9,23,32
08/17/14,9,11,25,28,35
06/24/14,1,12,20,27,33
10/09/14,1,13,25,28,31
08/16/14,1,11,22,32,36
06/23/14,7,18,28,34,36
10/08/14,1,4,5,15,35
08/15/14,8,17,20,34,36
06/22/14,6,19,24,31,34
10/07/14,2,5,21,22,31
08/14/14,1,8,18,22,35
06/21/14,5,12,17,24,29
10/06/14,5,7,23,30,34
08/13/14,11,16,21,22,36
06/20/14,15,22,25,28,32
10/05/14,4,18,23,31,36
08/12/14,7,9,14,15,36
06/19/14,1,11,18,28,33
10/04/14,11,13,16,20,23
08/11/14,17,18,19,31,34
06/18/14,1,18,19,21,30
10/03/14,7,19,26,28,32
08/10/14,2,7,11,17,21
06/17/14,6,10,15,20,31
10/02/14,20,24,29,33,35
08/09/14,1,13,27,28,29
06/16/14,6,30,32,33,35
10/01/14,7,16,18,19,33
08/08/14,5,13,15,20,26
06/15/14,8,11,14,15,22
09/30/14,2,4,20,21,32
08/07/14,4,8,24,25,28
06/14/14,5,22,30,33,35
09/29/14,6,7,13,24,27
08/06/14,17,18,25,27,35
06/13/14,2,6,14,15,23
09/28/14,17,24,25,32,34
08/05/14,2,25,30,34,35
06/12/14,5,20,24,28,32
09/27/14,14,21,26,27,36
08/04/14,14,19,22,31,35
06/11/14,5,10,12,25,34
09/26/14,7,20,23,28,36
08/03/14,2,4,6,14,30
06/10/14,3,5,8,26,30
09/25/14,1,3,4,6,18
08/02/14,8,9,10,26,31
06/09/14,1,2,22,34,35
09/24/14,17,30,32,34,36
08/01/14,10,12,17,24,34
06/08/14,6,11,18,29,33
09/23/14,1,10,19,22,26
07/31/14,2,15,23,25,29
06/07/14,2,19,21,30,35
09/22/14,6,15,22,26,31
07/30/14,2,16,21,26,33
06/06/14,5,7,21,23,25
09/21/14,9,14,17,23,34
07/29/14,3,6,12,17,31
06/05/14,9,10,18,20,26
09/20/14,4,5,8,21,23
07/28/14,3,5,12,13,22
06/04/14,5,22,28,29,36
09/19/14,1,2,10,23,27
07/27/14,1,9,15,16,21
06/03/14,4,5,11,20,29
09/18/14,10,12,23,30,36
07/26/14,1,7,12,16,30
06/02/14,7,12,20,27,35
09/17/14,1,2,3,5,36
07/25/14,5,14,20,25,34
06/01/14,2,12,22,28,29
09/16/14,8,14,15,32,33
07/24/14,6,18,19,24,25
05/31/14,3,9,11,23,28
09/15/14,1,4,13,29,36
07/23/14,4,17,22,27,34
05/30/14,19,23,30,31,34
09/14/14,9,16,18,22,28
07/22/14,17,18,24,32,34
05/29/14,3,13,32,34,36
09/13/14,8,10,13,16,30
07/21/14,3,4,21,25,35
05/28/14,14,17,26,29,33
09/12/14,4,8,9,11,25
07/20/14,8,10,14,28,33
05/27/14,4,9,16,18,33
09/11/14,11,13,16,31,33
07/19/14,9,10,11,24,30
05/26/14,2,6,10,25,35
09/10/14,3,13,21,31,33
07/18/14,3,14,29,33,36
05/25/14,4,12,19,21,31
09/09/14,4,6,10,25,28
07/17/14,3,8,10,15,26
05/24/14,7,19,29,30,34
09/08/14,3,10,19,31,34
07/16/14,1,8,11,17,26
05/23/14,3,17,18,19,34
09/07/14,12,16,22,29,32
07/15/14,3,12,15,18,26
05/22/14,11,17,19,30,36
09/06/14,11,16,18,21,31
07/14/14,8,9,25,27,29
05/21/14,5,6,15,21,30
09/05/14,9,11,15,25,32
07/13/14,2,7,13,16,28
05/20/14,16,25,27,29,30
09/04/14,7,10,14,22,34
07/12/14,9,13,18,19,35
05/19/14,2,6,8,20,27
09/03/14,3,12,14,16,30
07/11/14,1,21,25,26,34
05/18/14,7,10,13,14,31
09/02/14,3,5,10,14,32
07/10/14,2,19,21,27,33
05/17/14,7,17,21,27,32
